player_name,team,bio_stat,positions,traits,liga_25_stats,season_performance
Diogo Costa,FC Porto,"186 cmHeight99Shirt24 yearsSep 19, 1999RightPreferred footPortugalCountry€35MMarket value",PositionPrimaryKeeperGK,Long ball accuracy12%Clean sheet95%High claim34%Sweeper76%Goals conceded97%Save percentage1%,3Clean sheets2Goals conceded0/1Saved penalties6.82Rating4Matches360Minutes played0Yellow cards0Red cards,Season performanceTotalPer 90GoalkeepingRankSaves3Save percentage60.0%Goals conceded2Goals prevented0.68Clean sheets3Penalties faced1Penalty goals conceded1Penalty saves0Error led to goal0Acted as sweeper1DistributionPass accuracy82.4%Accurate long balls17Long ball accuracy40.5%DisciplineYellow cards0Red cards0
Ze Carlos,Gil Vicente,"177 cmHeight2Shirt26 yearsJul 31, 1998RightPreferred footPortugalCountry€820KMarket value",PositionPrimaryRight-backRB,Touches73%Shot attempts42%Goals57%Chances created32%Aerial duels won57%Defensive actions90%,0Goals0Assists4Started4Matches360Minutes played7.40Rating1Yellow cards0Red cards,Season performanceMinutes played: 360TotalPer 90ShootingRankGoals0Expected goals (xG)0.03Non-penalty xG0.03Shots1PassingAssists0Expected assists (xA)0.32Successful passes169Pass accuracy81.6%Accurate long balls8Long ball accuracy44.4%Chances created5Successful crosses2Cross accuracy50.0%PossessionSuccessful dribbles1Dribble success50.0%Touches311Touches in opposition box2Dispossessed2Fouls won9DefendingTackles won6Tackles won %54.5%Duels won24Duels won %66.7%Aerial duels won3Aerial duels won %60.0%Interceptions12Fouls committed4Recoveries15Dribbled past3DisciplineYellow cards1Red cards0
Godfried Frimpong,Moreirense,"180 cmHeight23Shirt25 yearsJul 21, 1999LeftPreferred footNetherlandsCountry€330KMarket value",PositionPrimaryLeft-backLB,Touches53%Shot attempts0%Goals0%Chances created65%Aerial duels won32%Defensive actions91%,0Goals0Assists4Started4Matches360Minutes played7.22Rating1Yellow cards0Red cards,Season performanceMinutes played: 360TotalPer 90ShootingRankGoals0Shots0PassingAssists0Expected assists (xA)0.46Successful passes78Pass accuracy74.3%Accurate long balls4Long ball accuracy22.2%Chances created5Successful crosses5Cross accuracy45.5%PossessionSuccessful dribbles2Dribble success66.7%Touches212Touches in opposition box2Dispossessed1Fouls won3DefendingTackles won5Tackles won %71.4%Duels won15Duels won %71.4%Aerial duels won3Aerial duels won %75.0%Interceptions7Fouls committed2Recoveries11Dribbled past1DisciplineYellow cards1Red cards0
Tiago Esgaio,Arouca,"175 cmHeight28Shirt29 yearsAug 1, 1995RightPreferred footPortugalCountry€950KMarket value",PositionPrimaryRight-backOthersLeft-backRBLB,Touches77%Shot attempts24%Goals76%Chances created33%Aerial duels won90%Defensive actions78%,0Goals0Assists4Started4Matches360Minutes played6.98Rating0Yellow cards0Red cards,Season performanceMinutes played: 360TotalPer 90ShootingRankGoals0Expected goals (xG)0.24xG on target (xGOT)0.24Non-penalty xG0.24Shots2Shots on target1PassingAssists0Expected assists (xA)0.08Successful passes170Pass accuracy77.6%Accurate long balls4Long ball accuracy18.2%Chances created2Successful crosses1Cross accuracy25.0%PossessionSuccessful dribbles2Dribble success100.0%Touches322Touches in opposition box6Dispossessed3Fouls won4DefendingTackles won6Tackles won %66.7%Duels won19Duels won %65.5%Aerial duels won4Aerial duels won %80.0%Interceptions4Fouls committed5Recoveries17Dribbled past1DisciplineYellow cards0Red cards0
Morato,Nottingham Forest,"192 cmHeight4Shirt23 yearsJun 30, 2001LeftPreferred footBrazilCountry€18MMarket value",PositionPrimaryLeft-backOthersCenter-backCBLB,Touches66%Shot attempts35%Goals0%Chances created14%Aerial duels won90%Defensive actions92%,0Goals0Assists1Started1Matches90Minutes played7.15Rating0Yellow cards0Red cards,Season performanceMinutes played: 90TotalPer 90ShootingRankGoals0Expected goals (xG)0.05Non-penalty xG0.05Shots2PassingAssists0Expected assists (xA)0.03Successful passes67Pass accuracy90.5%Accurate long balls3Long ball accuracy100.0%PossessionSuccessful dribbles1Dribble success100.0%Touches87Touches in opposition box2Dispossessed0DefendingTackles won2Tackles won %66.7%Duels won8Duels won %66.7%Aerial duels won4Aerial duels won %66.7%Interceptions3Blocked1Fouls committed1Recoveries7Dribbled past2DisciplineYellow cards0Red cards0
Toni Borevkovic,Vitoria de Guimaraes,"194 cmHeight24Shirt27 yearsJun 18, 1997RightPreferred footCroatiaCountry€2.3MMarket value",PositionPrimaryCenter-backCB,Touches4%Shot attempts55%Goals42%Chances created4%Aerial duels won27%Defensive actions44%,0Goals0Assists4Started4Matches360Minutes played7.11Rating2Yellow cards0Red cards,Season performanceMinutes played: 360TotalPer 90ShootingRankGoals0Expected goals (xG)0.22xG on target (xGOT)0.49Non-penalty xG0.22Shots2Shots on target1PassingAssists0Expected assists (xA)0.02Successful passes199Pass accuracy90.9%Accurate long balls15Long ball accuracy60.0%PossessionSuccessful dribbles1Dribble success100.0%Touches262Touches in opposition box3Dispossessed0Fouls won2DefendingTackles won2Tackles won %28.6%Duels won15Duels won %65.2%Aerial duels won5Aerial duels won %55.6%Interceptions4Fouls committed4Recoveries11DisciplineYellow cards2Red cards0
Vasco Sousa,FC Porto,"164 cmHeight15Shirt21 yearsApr 3, 2003RightPreferred footPortugalCountry€1.4MMarket value",PositionPrimaryCentral MidfielderOthersDefensive MidfielderDMCM,,0Goals0Assists3Started4Matches253Minutes played7.00Rating0Yellow cards0Red cards,Season performanceMinutes played: 253TotalPer 90ShootingRankGoals0Expected goals (xG)0.39xG on target (xGOT)0.07Non-penalty xG0.39Shots6Shots on target1PassingAssists0Expected assists (xA)0.48Successful passes108Pass accuracy87.8%Accurate long balls5Long ball accuracy100.0%Chances created2PossessionSuccessful dribbles2Dribble success66.7%Touches173Touches in opposition box3Dispossessed5Fouls won11DefendingTackles won6Tackles won %60.0%Duels won24Duels won %63.2%Aerial duels won1Aerial duels won %50.0%Blocked2Fouls committed5Recoveries15Dribbled past2DisciplineYellow cards0Red cards0
Rafael Rodrigues,AVS Futebol SAD,"182 cmHeight3Shirt22 yearsJan 27, 2002LeftPreferred footPortugalCountry€1.9MMarket value",PositionPrimaryLeft-backLB,,0Goals0Assists1Started1Matches45Minutes played7.10Rating0Yellow cards0Red cards,Season performanceMinutes played: 45TotalPer 90ShootingRankGoals0Shots0PassingAssists0Expected assists (xA)0.11Successful passes12Pass accuracy66.7%Chances created2Successful crosses3Cross accuracy100.0%PossessionSuccessful dribbles2Dribble success100.0%Touches31Dispossessed0Fouls won1DefendingDuels won3Duels won %100.0%Recoveries3DisciplineYellow cards0Red cards0
Jorge Fernandes,Vitoria de Guimaraes,"193 cmHeight44Shirt27 yearsApr 2, 1997RightPreferred footPortugalCountry€1.6MMarket value",PositionPrimaryCenter-backCB,Touches18%Shot attempts74%Goals75%Chances created76%Aerial duels won89%Defensive actions28%,0Goals0Assists2Started2Matches135Minutes played7.10Rating0Yellow cards0Red cards,Season performanceMinutes played: 135TotalPer 90ShootingRankGoals0Expected goals (xG)0.09Non-penalty xG0.09Shots1PassingAssists0Expected assists (xA)0.02Successful passes72Pass accuracy92.3%Accurate long balls4Long ball accuracy80.0%Chances created1PossessionTouches95Touches in opposition box2Dispossessed0Fouls won1DefendingDuels won5Duels won %71.4%Aerial duels won4Aerial duels won %80.0%Interceptions3Recoveries4Dribbled past1DisciplineYellow cards0Red cards0
Luis Esteves,Nacional,"171 cmHeight10Shirt26 yearsApr 9, 1998RightPreferred footPortugalCountry€100KMarket value",PositionPrimaryCentral MidfielderCM,,0Goals1Assists4Started4Matches360Minutes played7.37Rating2Yellow cards0Red cards,Season performanceMinutes played: 360TotalPer 90ShootingRankGoals0Expected goals (xG)0.20xG on target (xGOT)0.05Non-penalty xG0.20Shots6Shots on target1PassingAssists1Expected assists (xA)0.37Successful passes117Pass accuracy78.0%Accurate long balls17Long ball accuracy50.0%Chances created8Successful crosses1Cross accuracy25.0%PossessionSuccessful dribbles4Dribble success80.0%Touches205Touches in opposition box2Dispossessed3Fouls won9DefendingTackles won4Tackles won %80.0%Duels won20Duels won %52.6%Aerial duels won2Aerial duels won %66.7%Interceptions4Blocked2Fouls committed5Recoveries30Possession won final 3rd5Dribbled past8DisciplineYellow cards2Red cards0
Fredrik Aursnes,Benfica,"179 cmHeight8Shirt28 yearsDec 10, 1995RightPreferred footNorwayCountry€24MMarket value","PositionPrimaryRight-backOthersLeft-back, Central Midfielder, Left WingerRBLBCMLW",Touches81%Shot attempts60%Goals70%Chances created85%Aerial duels won12%Defensive actions23%,1Goals1Assists3Started3Matches211Minutes played7.09Rating0Yellow cards0Red cards,Season performanceMinutes played: 211TotalPer 90ShootingRankGoals1Expected goals (xG)0.31xG on target (xGOT)0.77Non-penalty xG0.31Shots4Shots on target1PassingAssists1Expected assists (xA)0.56Successful passes90Pass accuracy79.6%Accurate long balls5Long ball accuracy45.5%Chances created4Successful crosses3Cross accuracy37.5%PossessionTouches158Touches in opposition box10Dispossessed2Fouls won1DefendingTackles won4Tackles won %57.1%Duels won9Duels won %40.9%Aerial duels won1Aerial duels won %16.7%Blocked2Recoveries6Possession won final 3rd1Dribbled past3DisciplineYellow cards0Red cards0
Robson Bambu,Braga,"185 cmHeight3Shirt26 yearsNov 12, 1997RightPreferred footBrazilCountry€2.7MMarket value",PositionPrimaryCenter-backCB,Touches81%Shot attempts13%Goals0%Chances created5%Aerial duels won15%Defensive actions68%,0Goals0Assists2Started2Matches180Minutes played7.09Rating0Yellow cards0Red cards,Season performanceMinutes played: 180TotalPer 90ShootingRankGoals0Expected goals (xG)0.06Non-penalty xG0.06Shots1PassingAssists0Expected assists (xA)0.02Successful passes141Pass accuracy87.6%Accurate long balls3Long ball accuracy20.0%PossessionTouches181Touches in opposition box1Dispossessed1Fouls won1DefendingTackles won1Tackles won %20.0%Duels won9Duels won %64.3%Aerial duels won3Aerial duels won %75.0%Interceptions1Blocked1Fouls committed3Recoveries8DisciplineYellow cards0Red cards0
Rivaldo,Farense,"184 cmHeight70Shirt23 yearsSep 18, 2000RightPreferred footPortugalCountry",PositionPrimaryRight-backRB,,0Goals1Assists4Started4Matches360Minutes played6.81Rating0Yellow cards0Red cards,Season performanceMinutes played: 360TotalPer 90ShootingRankGoals0Expected goals (xG)0.06Non-penalty xG0.06Shots4PassingAssists1Expected assists (xA)0.66Successful passes96Pass accuracy69.6%Accurate long balls13Long ball accuracy39.4%Chances created4Successful crosses2Cross accuracy12.5%PossessionSuccessful dribbles5Dribble success62.5%Touches269Touches in opposition box4Dispossessed3Fouls won5DefendingTackles won7Tackles won %63.6%Duels won29Duels won %65.9%Aerial duels won8Aerial duels won %66.7%Interceptions7Blocked2Fouls committed2Recoveries14Possession won final 3rd1Dribbled past3DisciplineYellow cards0Red cards0
Eduardo Quaresma,Sporting CP,"185 cmHeight72Shirt22 yearsMar 2, 2002RightPreferred footPortugalCountry€3.2MMarket value",PositionPrimaryCenter-backCB,Touches92%Shot attempts2%Goals65%Chances created12%Aerial duels won6%Defensive actions32%,0Goals0Assists4Started4Matches311Minutes played7.00Rating0Yellow cards0Red cards,Season performanceMinutes played: 311TotalPer 90ShootingRankGoals0Expected goals (xG)0.04Non-penalty xG0.04Shots1PassingAssists0Expected assists (xA)0.05Successful passes239Pass accuracy92.3%Accurate long balls1Long ball accuracy14.3%PossessionSuccessful dribbles2Dribble success50.0%Touches301Touches in opposition box1Dispossessed4Fouls won2DefendingTackles won4Tackles won %44.4%Duels won16Duels won %59.3%Aerial duels won3Aerial duels won %50.0%Fouls committed2Recoveries12Possession won final 3rd3DisciplineYellow cards0Red cards0
Marios Vrousai,Rio Ave,"183 cmHeight17Shirt26 yearsJul 2, 1998BothPreferred footGreeceCountry€890KMarket value",PositionPrimaryLeft MidfielderOthersRight MidfielderRMLM,Touches58%Shot attempts83%Goals57%Chances created37%Aerial duels won65%Defensive actions88%,0Goals0Assists4Started4Matches360Minutes played7.10Rating0Yellow cards0Red cards,Season performanceMinutes played: 360TotalPer 90ShootingRankGoals0Expected goals (xG)0.10Non-penalty xG0.10Shots1PassingAssists0Expected assists (xA)0.04Successful passes86Pass accuracy73.5%Accurate long balls4Long ball accuracy57.1%Chances created3PossessionSuccessful dribbles6Dribble success60.0%Touches233Touches in opposition box2Dispossessed3Fouls won6DefendingTackles won6Tackles won %60.0%Duels won26Duels won %57.8%Aerial duels won5Aerial duels won %55.6%Interceptions5Fouls committed2Recoveries16Dribbled past6DisciplineYellow cards0Red cards0
Leandro Barreiro,Benfica,"174 cmHeight18Shirt24 yearsJan 3, 2000RightPreferred footLuxembourgCountry€19MMarket value",PositionPrimaryCentral MidfielderOthersDefensive MidfielderDMCM,Touches36%Shot attempts56%Goals62%Chances created43%Aerial duels won72%Defensive actions87%,0Goals0Assists4Started4Matches317Minutes played7.26Rating1Yellow cards0Red cards,Season performanceMinutes played: 317TotalPer 90ShootingRankGoals0Shots0PassingAssists0Expected assists (xA)0.45Successful passes177Pass accuracy89.8%Accurate long balls1Long ball accuracy25.0%Chances created2Successful crosses1Cross accuracy33.3%PossessionSuccessful dribbles5Dribble success83.3%Touches246Touches in opposition box9Dispossessed4Fouls won8Penalties awarded1DefendingTackles won6Tackles won %46.2%Duels won31Duels won %60.8%Aerial duels won5Aerial duels won %45.5%Interceptions3Fouls committed4Recoveries13Dribbled past5DisciplineYellow cards1Red cards0
Ricardo Mangas,Vitoria de Guimaraes,"179 cmHeight19Shirt26 yearsMar 19, 1998LeftPreferred footPortugalCountry€1.1MMarket value",PositionPrimaryLeft MidfielderOthersLeft WingerLMLW,Touches6%Shot attempts64%Goals80%Chances created23%Aerial duels won82%Defensive actions8%,0Goals0Assists4Started4Matches340Minutes played6.97Rating0Yellow cards0Red cards,Season performanceMinutes played: 340TotalPer 90ShootingRankGoals0Expected goals (xG)0.97xG on target (xGOT)1.06Non-penalty xG0.97Shots5Shots on target3PassingAssists0Expected assists (xA)0.70Successful passes52Pass accuracy82.5%Accurate long balls1Long ball accuracy50.0%Chances created3Successful crosses3Cross accuracy42.9%PossessionSuccessful dribbles3Dribble success50.0%Touches117Touches in opposition box14Dispossessed0Fouls won7DefendingTackles won3Tackles won %100.0%Duels won16Duels won %57.1%Aerial duels won3Aerial duels won %42.9%Blocked1Fouls committed4Recoveries11Possession won final 3rd1Dribbled past1DisciplineYellow cards0Red cards0
Samu,Vitoria de Guimaraes,"170 cmHeight20Shirt28 yearsApr 21, 1996LeftPreferred footPortugalCountry€950KMarket value","PositionPrimaryCentral MidfielderOthersDefensive Midfielder, Attacking MidfielderDMCMAM",Touches92%Shot attempts44%Goals13%Chances created86%Aerial duels won61%Defensive actions97%,0Goals0Assists3Started4Matches246Minutes played6.82Rating0Yellow cards0Red cards,Season performanceMinutes played: 246TotalPer 90ShootingRankGoals0Expected goals (xG)0.16xG on target (xGOT)0.14Non-penalty xG0.16Shots5Shots on target2PassingAssists0Expected assists (xA)0.76Successful passes70Pass accuracy79.5%Accurate long balls3Long ball accuracy42.9%Chances created7Successful crosses4Cross accuracy28.6%PossessionTouches143Touches in opposition box4Dispossessed4Fouls won4DefendingTackles won5Tackles won %62.5%Duels won13Duels won %54.2%Aerial duels won1Aerial duels won %33.3%Blocked1Fouls committed3Recoveries5Possession won final 3rd2DisciplineYellow cards0Red cards0
Stephen Eustaquio,FC Porto,"178 cmHeight6Shirt27 yearsDec 21, 1996RightPreferred footCanadaCountry€14MMarket value",PositionPrimaryCentral MidfielderOthersDefensive MidfielderDMCM,Touches88%Shot attempts50%Goals71%Chances created82%Aerial duels won40%Defensive actions84%,0Goals0Assists1Started3Matches100Minutes played6.82Rating1Yellow cards0Red cards,Season performanceMinutes played: 100TotalPer 90ShootingRankGoals0Expected goals (xG)0.02xG on target (xGOT)0.08Non-penalty xG0.02Shots1Shots on target1PassingAssists0Expected assists (xA)0.23Successful passes65Pass accuracy87.8%Chances created3Successful crosses1Cross accuracy50.0%PossessionTouches98Touches in opposition box2Dispossessed1Fouls won3DefendingTackles won5Tackles won %71.4%Duels won11Duels won %61.1%Aerial duels won1Aerial duels won %33.3%Interceptions1Fouls committed3Recoveries3Possession won final 3rd1DisciplineYellow cards1Red cards0
Bruno Brigido,Estrela da Amadora,"188 cmHeight30Shirt33 yearsMar 9, 1991RightPreferred footBrazilCountry€350KMarket value",PositionPrimaryKeeperGK,Long ball accuracy55%Clean sheet13%High claim51%Sweeper91%Goals conceded17%Save percentage59%,0Clean sheets6Goals conceded0/0Saved penalties6.99Rating4Matches360Minutes played0Yellow cards0Red cards,Season performanceTotalPer 90GoalkeepingRankSaves18Save percentage75.0%Goals conceded6Goals prevented0.91Clean sheets0Error led to goal0Acted as sweeper1High claim3DistributionPass accuracy62.9%Accurate long balls14Long ball accuracy25.5%DisciplineYellow cards0Red cards0
Raul,Ferencvaros,"190 cmHeight34Shirt25 yearsApr 24, 1999BrazilCountry",PositionPrimaryCenter-backCB,Touches80%Shot attempts98%Goals0%Chances created50%Aerial duels won57%Defensive actions46%,0Goals0Assists4Started4Matches360Minutes played0Yellow cards0Red cards,
Gabriel Silva,Santa Clara,"177 cmHeight11Shirt22 yearsMar 22, 2002RightPreferred footBrazilCountry€2.6MMarket value",PositionPrimaryLeft WingerLW,,2Goals0Assists4Started4Matches306Minutes played7.37Rating0Yellow cards0Red cards,Season performanceMinutes played: 306TotalPer 90ShootingRankGoals2Expected goals (xG)0.63xG on target (xGOT)0.50Non-penalty xG0.63Shots8Shots on target3PassingAssists0Expected assists (xA)0.11Successful passes35Pass accuracy67.3%Accurate long balls1Long ball accuracy100.0%Chances created2Successful crosses1Cross accuracy16.7%PossessionSuccessful dribbles7Dribble success53.8%Touches135Touches in opposition box21Dispossessed8Fouls won10Penalties awarded1DefendingTackles won4Tackles won %100.0%Duels won23Duels won %48.9%Aerial duels won2Aerial duels won %50.0%Blocked1Fouls committed6Recoveries15Possession won final 3rd4Dribbled past2DisciplineYellow cards0Red cards0
Ibrahima,Boavista,"190 cmHeight2Shirt25 yearsJan 25, 1999RightPreferred footGuineaCountry€650KMarket value","PositionPrimaryCentral MidfielderOthersCenter-back, Defensive MidfielderCBDMCM",Touches16%Shot attempts10%Goals0%Chances created74%Aerial duels won23%Defensive actions4%,0Goals0Assists4Started4Matches294Minutes played6.94Rating0Yellow cards0Red cards,Season performanceMinutes played: 294TotalPer 90ShootingRankGoals0Expected goals (xG)0.02xG on target (xGOT)0.03Non-penalty xG0.02Shots1Shots on target1PassingAssists0Expected assists (xA)0.30Successful passes94Pass accuracy81.7%Accurate long balls15Long ball accuracy57.7%Chances created1PossessionSuccessful dribbles1Dribble success33.3%Touches152Touches in opposition box1Dispossessed3Fouls won6DefendingTackles won3Tackles won %60.0%Duels won20Duels won %60.6%Aerial duels won9Aerial duels won %75.0%Interceptions3Fouls committed2Recoveries19Possession won final 3rd1Dribbled past3DisciplineYellow cards0Red cards0
Mario Gonzalez,Famalicao,"183 cmHeight9Shirt28 yearsFeb 25, 1996LeftPreferred footSpainCountry€2.5MMarket value",PositionPrimaryStrikerST,Touches17%Shot attempts55%Goals18%Chances created19%Aerial duels won67%Defensive actions13%,1Goals1Assists0Started4Matches82Minutes played6.72Rating0Yellow cards0Red cards,
Frederico Venancio,Santa Clara,"186 cmHeight21Shirt31 yearsFeb 4, 1993RightPreferred footPortugalCountry€680KMarket value",PositionPrimaryCenter-backCB,Touches15%Shot attempts4%Goals0%Chances created79%Aerial duels won9%Defensive actions48%,0Goals0Assists4Started4Matches360Minutes played7.15Rating1Yellow cards0Red cards,Season performanceMinutes played: 360TotalPer 90ShootingRankGoals0Expected goals (xG)0.07Non-penalty xG0.07Shots1PassingAssists0Expected assists (xA)0.01Successful passes163Pass accuracy82.3%Accurate long balls11Long ball accuracy45.8%Chances created1PossessionTouches231Touches in opposition box2Dispossessed0DefendingTackles won3Tackles won %42.9%Duels won13Duels won %72.2%Aerial duels won6Aerial duels won %60.0%Interceptions6Fouls committed1Recoveries14DisciplineYellow cards1Red cards0
Kaio,Vitoria de Guimaraes,"168 cmHeight11Shirt20 yearsFeb 15, 2004LeftPreferred footBrazilCountry€950KMarket value","PositionPrimaryRight WingerOthersStriker, Left WingerRWSTLW",Touches12%Shot attempts6%Goals26%Chances created12%Aerial duels won31%Defensive actions43%,1Goals1Assists2Started3Matches184Minutes played7.15Rating1Yellow cards0Red cards,Season performanceMinutes played: 184TotalPer 90ShootingRankGoals1Expected goals (xG)0.87xG on target (xGOT)1.31Non-penalty xG0.87Shots4Shots on target2PassingAssists1Expected assists (xA)0.11Successful passes25Pass accuracy73.5%Chances created2Successful crosses2Cross accuracy50.0%PossessionTouches69Touches in opposition box8Dispossessed1Fouls won5DefendingTackles won2Tackles won %66.7%Duels won8Duels won %44.4%Interceptions2Blocked2Fouls committed4Recoveries3Dribbled past1DisciplineYellow cards1Red cards0
Jan-Niklas Beste,Benfica,"174 cmHeight37Shirt25 yearsJan 4, 1999LeftPreferred footGermanyCountry€15MMarket value","PositionPrimaryLeft WingerOthersLeft-back, Left MidfielderLBLMLW",Touches63%Shot attempts33%Goals67%Chances created93%Aerial duels won16%Defensive actions85%,0Goals0Assists2Started2Matches82Minutes played7.02Rating0Yellow cards0Red cards,Season performanceMinutes played: 82TotalPer 90ShootingRankGoals0Expected goals (xG)0.03Non-penalty xG0.03Shots1PassingAssists0Expected assists (xA)0.18Successful passes33Pass accuracy89.2%Accurate long balls1Long ball accuracy100.0%Chances created4Successful crosses3Cross accuracy37.5%PossessionSuccessful dribbles1Dribble success50.0%Touches66Touches in opposition box1Dispossessed0Fouls won4DefendingTackles won1Tackles won %100.0%Duels won6Duels won %66.7%Interceptions2Blocked1Fouls committed1Recoveries5Possession won final 3rd1Dribbled past1DisciplineYellow cards0Red cards0
Nene,AVS Futebol SAD,"183 cmHeight18Shirt41 yearsJul 28, 1983RightPreferred footBrazilCountry€200KMarket value",PositionPrimaryStrikerST,,2Goals0Assists3Started3Matches238Minutes played7.02Rating1Yellow cards0Red cards,Season performanceMinutes played: 238TotalPer 90ShootingRankGoals2Expected goals (xG)0.96xG on target (xGOT)1.94Non-penalty xG0.96Shots9Shots on target3PassingAssists0Expected assists (xA)0.11Successful passes36Pass accuracy64.3%Accurate long balls6Long ball accuracy75.0%Chances created1PossessionSuccessful dribbles1Dribble success14.3%Touches102Touches in opposition box8Dispossessed4Fouls won4DefendingTackles won1Tackles won %33.3%Duels won16Duels won %44.4%Aerial duels won8Aerial duels won %57.1%Blocked1Fouls committed4Recoveries3Dribbled past1DisciplineYellow cards1Red cards0
Giorgi Aburjania,AVS Futebol SAD,"187 cmHeight8Shirt29 yearsJan 2, 1995BothPreferred footGeorgiaCountry€700KMarket value",PositionPrimaryDefensive MidfielderOthersCentral MidfielderDMCM,Touches19%Shot attempts14%Goals0%Chances created15%Aerial duels won61%Defensive actions27%,0Goals0Assists3Started4Matches209Minutes played7.00Rating0Yellow cards0Red cards,Season performanceMinutes played: 209TotalPer 90ShootingRankGoals0Shots0PassingAssists0Expected assists (xA)0.04Successful passes63Pass accuracy85.1%Accurate long balls3Long ball accuracy50.0%Chances created3PossessionSuccessful dribbles1Dribble success100.0%Touches96Dispossessed0Fouls won3DefendingTackles won5Tackles won %71.4%Duels won14Duels won %70.0%Aerial duels won4Aerial duels won %80.0%Interceptions2Fouls committed2Recoveries9Dribbled past4DisciplineYellow cards0Red cards0
Maracas,Moreirense,"184 cmHeight26Shirt30 yearsApr 27, 1994RightPreferred footBrazilCountry",PositionPrimaryCenter-backCB,Touches50%Shot attempts46%Goals94%Chances created11%Aerial duels won44%Defensive actions85%,1Goals0Assists4Started4Matches360Minutes played7.08Rating1Yellow cards0Red cards,Season performanceMinutes played: 360TotalPer 90ShootingRankGoals1Expected goals (xG)1.11xG on target (xGOT)1.82Non-penalty xG1.11Shots4Shots on target3PassingAssists0Expected assists (xA)0.01Successful passes125Pass accuracy86.2%Accurate long balls5Long ball accuracy31.2%Chances created1PossessionSuccessful dribbles1Dribble success50.0%Touches199Touches in opposition box4Dispossessed0Fouls won2DefendingTackles won1Tackles won %33.3%Duels won14Duels won %66.7%Aerial duels won8Aerial duels won %61.5%Blocked1Fouls committed1Recoveries13DisciplineYellow cards1Red cards0
Kewin,Moreirense,"189 cmHeight40Shirt29 yearsJan 25, 1995RightPreferred footBrazilCountry€420KMarket value",PositionPrimaryKeeperGK,Long ball accuracy66%Clean sheet90%High claim87%Sweeper29%Goals conceded76%Save percentage56%,0Clean sheets6Goals conceded0/1Saved penalties7.12Rating4Matches360Minutes played1Yellow cards0Red cards,Season performanceTotalPer 90GoalkeepingRankSaves12Save percentage66.7%Goals conceded6Goals prevented-1.47Clean sheets0Penalties faced1Penalty goals conceded1Penalty saves0Error led to goal0Acted as sweeper1High claim9DistributionPass accuracy63.0%Accurate long balls38Long ball accuracy43.7%DisciplineYellow cards1Red cards0
Bruma,Braga,"173 cmHeight7Shirt29 yearsOct 24, 1994RightPreferred footPortugalCountry€7.5MMarket value",PositionPrimaryLeft WingerOthersLeft MidfielderLMLW,Touches90%Shot attempts90%Goals73%Chances created52%Aerial duels won10%Defensive actions11%,0Goals0Assists1Started2Matches90Minutes played6.98Rating0Yellow cards0Red cards,Season performanceMinutes played: 90TotalPer 90ShootingRankGoals0Expected goals (xG)0.05Non-penalty xG0.05Shots2PassingAssists0Expected assists (xA)0.18Successful passes46Pass accuracy78.0%Chances created2PossessionSuccessful dribbles9Dribble success56.2%Touches88Touches in opposition box9Dispossessed1DefendingDuels won9Duels won %50.0%Fouls committed1Recoveries4DisciplineYellow cards0Red cards0
Danny Loader,FC Porto,"182 cmHeight19Shirt24 yearsAug 28, 2000RightPreferred footEnglandCountry€3.2MMarket value",PositionPrimaryStrikerST,Touches87%Shot attempts50%Goals24%Chances created82%Aerial duels won46%Defensive actions56%,1Goals0Assists4Started4Matches325Minutes played6.80Rating1Yellow cards0Red cards,Season performanceMinutes played: 325TotalPer 90ShootingRankGoals1Expected goals (xG)1.75xG on target (xGOT)1.45Penalty goals1Non-penalty xG0.96Shots9Shots on target4PassingAssists0Expected assists (xA)0.05Successful passes70Pass accuracy79.5%Accurate long balls2Long ball accuracy66.7%Chances created2PossessionSuccessful dribbles3Dribble success50.0%Touches141Touches in opposition box15Dispossessed10Fouls won4DefendingDuels won17Duels won %38.6%Aerial duels won9Aerial duels won %60.0%Interceptions3Blocked1Fouls committed7Recoveries12Possession won final 3rd3Dribbled past1DisciplineYellow cards1Red cards0
Vladan Kovacevic,Sporting CP,"193 cmHeight13Shirt26 yearsApr 11, 1998RightPreferred footSerbiaCountry€5.2MMarket value",PositionPrimaryKeeperGK,Long ball accuracy12%Clean sheet61%High claim65%Sweeper96%Goals conceded59%Save percentage20%,2Clean sheets2Goals conceded0/0Saved penalties7.11Rating4Matches360Minutes played0Yellow cards0Red cards,Season performanceTotalPer 90GoalkeepingRankSaves7Save percentage77.8%Goals conceded2Goals prevented0.64Clean sheets2Error led to goal0Acted as sweeper1High claim3DistributionPass accuracy81.7%Accurate long balls6Long ball accuracy31.6%DisciplineYellow cards0Red cards0
